sensor_type,x,y,z,time
linear,-10.89,8.50,-1.18,0.5181188583374023
linear,2.05,3.88,1.54,0.548839807510376
linear,-9.29,5.07,-0.45,0.5652179718017578
linear,-5.35,4.43,-1.56,0.5820629596710205
linear,-3.51,3.49,-1.38,0.5952608585357666
linear,-4.11,2.95,-2.48,0.6121430397033691
linear,-3.96,2.93,-2.46,0.6255888938903809
linear,-3.80,0.23,-1.30,0.6413428783416748
linear,-4.97,3.91,-1.45,0.6551520824432373
linear,-4.00,1.13,-1.74,0.6727368831634521
linear,-4.57,4.97,-2.46,0.6863858699798584
linear,-3.48,3.02,1.52,0.703779935836792
linear,-4.05,2.61,1.43,0.7169950008392334
linear,-2.58,2.88,-1.10,0.7336828708648682
linear,-2.64,3.74,-1.09,0.7469489574432373
linear,-2.41,3.07,-0.14,0.7624878883361816
linear,-2.22,2.39,0.52,0.7763309478759766
linear,-1.93,1.89,1.00,0.7922239303588867
linear,-1.84,1.57,1.20,0.8056230545043945
linear,-0.43,0.51,0.68,0.8223428726196289
linear,-0.37,0.05,0.44,0.8362259864807129
linear,0.33,-1.20,0.18,0.8529610633850098
linear,0.43,-1.49,0.11,0.8664638996124268
linear,0.33,-1.73,0.82,0.8823709487915039
linear,-0.04,-1.16,-0.04,0.8963630199432373
linear,0.12,-1.41,-0.73,0.9132437705993652
linear,0.11,-1.87,-1.04,0.9266119003295898
linear,0.83,-2.84,-1.77,0.9437329769134521
linear,1.09,-3.21,-2.21,0.9568829536437988
linear,1.04,-3.82,-3.08,0.9729220867156982
linear,0.65,-3.74,-2.85,0.9862058162689209
linear,0.66,-2.83,-3.14,1.002371072769165
linear,0.88,-2.58,-3.77,1.016084909439087
linear,0.85,-2.68,-4.42,1.0336499214172363
linear,0.11,-2.17,-4.12,1.046919822692871
linear,2.00,-4.59,0.88,1.0630559921264648
linear,0.30,-1.86,-3.96,1.0761899948120117
linear,-2.53,-2.35,-0.81,1.0922260284423828
linear,-1.54,-0.29,-2.19,1.105837106704712
linear,-3.54,2.22,-4.58,1.1214749813079834
linear,-3.98,1.64,-2.60,1.1350457668304443
linear,-6.00,3.80,-3.75,1.1659860610961914
linear,-4.76,2.20,-0.92,1.1815800666809082
linear,-2.71,2.50,-2.25,1.1951417922973633
linear,-3.06,2.09,-2.08,1.2116117477416992
linear,-3.41,2.05,-1.82,1.2255749702453613
linear,-3.48,1.95,-1.42,1.2416408061981201
linear,-3.14,1.87,-1.50,1.2552978992462158
linear,-2.64,3.95,-1.58,1.2855780124664307
linear,-2.30,2.71,-2.52,1.302475929260254
linear,-2.40,2.39,-1.43,1.31650710105896
linear,-2.32,2.22,0.14,1.3324520587921143
linear,-1.82,2.23,0.23,1.3456640243530273
linear,-0.30,0.91,-0.26,1.3611681461334229
linear,-0.05,0.20,0.18,1.375072956085205
linear,-0.22,-1.27,0.67,1.4060289859771729
linear,-0.25,-1.47,-0.50,1.4216389656066895
linear,-1.01,-1.29,1.96,1.4352009296417236
linear,-0.63,-0.09,0.96,1.4512240886688232
linear,-0.09,0.15,0.66,1.465183973312378
linear,0.67,-0.16,-1.96,1.4814257621765137
linear,-0.07,0.00,-2.44,1.4950649738311768
linear,0.21,-0.03,-1.39,1.5118119716644287
linear,-0.08,0.52,-1.92,1.527029037475586
linear,-1.04,2.65,-2.24,1.5413548946380615
linear,-2.82,0.21,2.14,1.5551080703735352
linear,-4.52,2.36,5.01,1.572049856185913
linear,-5.78,-0.21,2.68,1.5860669612884521
linear,1.82,-0.16,-1.96,1.60184907913208
linear,1.37,0.69,-1.57,1.6151318550109863
linear,1.13,-0.47,-0.03,1.6317989826202393
linear,0.33,1.26,-1.11,1.6454730033874512
linear,0.65,0.18,-0.20,1.6631419658660889
linear,0.23,0.15,-0.86,1.676741123199463
linear,-0.45,-0.13,-0.93,1.693263053894043
linear,0.01,-0.13,0.24,1.706521987915039
linear,0.93,-2.25,0.17,1.7238759994506836
linear,1.58,-1.23,0.20,1.7375400066375732
linear,0.49,-0.04,0.53,1.7542738914489746
linear,1.48,-0.75,0.21,1.7850019931793213
linear,-0.08,0.88,0.61,1.8006141185760498
linear,0.39,-0.96,0.26,1.8137121200561523
linear,0.26,0.05,1.20,1.8270378112792969
linear,-0.19,-0.82,1.05,1.8436851501464844
linear,-0.24,-0.77,1.12,1.85703706741333
linear,-0.11,-1.29,1.04,1.873060941696167
linear,-0.22,-1.09,1.43,1.8864009380340576
linear,0.48,0.90,0.92,1.9031989574432373
linear,-0.20,0.11,-0.30,1.9166038036346436
linear,0.09,0.99,-0.04,1.933915138244629
linear,0.10,0.39,-0.25,1.9472639560699463
linear,0.33,0.66,-0.11,1.9642219543457031
linear,1.18,0.08,-0.82,1.9945189952850342
linear,1.25,-0.26,-0.37,2.024801015853882
linear,0.33,0.39,-0.35,2.0404438972473145
linear,0.04,0.07,0.11,2.0540459156036377
linear,0.17,0.27,-0.32,2.085533857345581
linear,0.78,0.46,-0.72,2.102083921432495
linear,0.70,0.27,-0.75,2.115417003631592
linear,0.43,-0.16,-0.75,2.131598949432373
linear,0.72,-0.11,-0.55,2.145188093185425
linear,0.68,-0.45,-0.59,2.1607749462127686
linear,0.67,-0.34,-0.73,2.174423933029175
linear,1.14,-0.67,-0.90,2.1909220218658447
linear,1.14,-0.96,-0.86,2.2049169540405273
linear,1.00,-0.68,-1.04,2.2205700874328613
linear,1.01,-0.52,-1.15,2.235023021697998
linear,0.74,-0.72,-0.74,2.2526628971099854
linear,0.79,-0.80,-0.88,2.266516923904419
linear,1.04,-0.64,-1.07,2.283787965774536
linear,1.16,-0.22,-1.32,2.2967469692230225
linear,1.02,-0.63,-1.16,2.312613010406494
linear,1.03,-0.95,-1.22,2.3264009952545166
linear,1.47,-1.08,-1.38,2.343596935272217
linear,1.32,-1.25,-1.35,2.3568899631500244
linear,1.52,-1.33,-1.43,2.372844934463501
linear,1.38,-1.47,-1.32,2.386514902114868
linear,1.34,-1.63,-1.41,2.4033520221710205
linear,1.60,-1.34,-1.59,2.4166479110717773
linear,1.52,-1.07,-1.66,2.433574914932251
linear,1.47,-1.08,-1.71,2.446725845336914
linear,1.87,-1.39,-1.95,2.4627697467803955
linear,1.94,-1.42,-2.01,2.4762728214263916
linear,1.74,-1.18,-1.97,2.4937047958374023
linear,1.79,-1.16,-2.07,2.5068578720092773
linear,1.89,-1.25,-2.11,2.5228657722473145
linear,1.94,-1.28,-2.06,2.536355972290039
linear,1.83,-1.36,-1.91,2.5523760318756104
linear,1.92,-1.31,-1.97,2.5658419132232666
linear,1.78,-1.36,-1.77,2.5820300579071045
linear,1.68,-1.27,-1.70,2.595517873764038
linear,1.50,-1.71,-1.34,2.6123671531677246
linear,1.61,-1.50,-1.46,2.6279098987579346
linear,1.58,-1.54,-1.20,2.6426339149475098
linear,1.50,-1.23,-1.21,2.6563451290130615
linear,1.44,-1.50,-0.98,2.6724741458892822
linear,1.48,-1.64,-0.82,2.6860759258270264
linear,0.89,-1.87,-0.56,2.703143835067749
linear,0.98,-1.79,-0.90,2.716636896133423
linear,1.03,-0.71,-0.64,2.734005928039551
linear,0.65,-0.66,-0.52,2.7469279766082764
linear,0.26,-0.61,-0.29,2.7637040615081787
linear,0.33,-0.45,-0.31,2.7769558429718018
linear,0.55,-0.40,-0.26,2.793768882751465
linear,0.79,-0.57,-0.64,2.807145833969116
linear,0.82,-0.63,-0.59,2.823058843612671
linear,0.74,-0.54,-0.69,2.8363969326019287
linear,0.65,-0.54,-0.70,2.852592945098877
linear,0.84,-0.18,-0.70,2.8662140369415283
linear,0.48,0.24,-0.55,2.8837549686431885
linear,0.40,-0.23,-0.29,2.896965742111206
linear,0.54,-0.00,-0.44,2.913741111755371
